annee,pays,espérance_vie,mortalité_infantile,mortalité_maternelle,densité_médecins,densité_infirmiers,insuffissance_pondérale_T,insuffissance_pondérale_T.1,insuffissance_pondérale_M,nombre_lits_hospitaliers,taux_chômage_jeunes,scolarisation_primaire,scolarisation_secondaire,scolarisation_superieur,obésité_T,obésité_M,obésité_F,activité_phisique_T,activité_phisique_M,activité_phisique_F,surpoids_T,surpoids_M,surpoids_F,interpolated
1990,BENIN,53.02,172.2,692.0,0.051,0.5994750000000001,2.1166666666666667,1.9708333333333334,2.2666666666666666,0.8338999748,0.027844665660744616,49.1453895568848,39.29494789123535,2.02301001548767,2.05927,1.02765,2.94786,77.41628347826088,73.91518695652175,80.94200913043478,16.2,10.9,20.4,False
1991,BENIN,53.441,168.0,666.0,0.042,0.5994750000000001,2.1166666666666667,1.9708333333333334,2.2666666666666666,0.5005000234,0.027844665660744616,55.5559501647949,39.29494789123535,2.32081007957458,2.22783,1.10851,3.19444,77.41628347826088,73.91518695652175,80.94200913043478,16.6,11.3,21.0,False
1992,BENIN,54.137,163.9,625.0,0.055,0.5994750000000001,2.1166666666666667,1.9708333333333334,2.2666666666666666,0.2231000066,0.027844665660744616,58.5951881408691,39.29494789123535,2.19625997543335,2.40981,1.1969,3.45994,77.41628347826088,73.91518695652175,80.94200913043478,17.1,11.6,21.6,False
1993,BENIN,54.612,159.9,591.0,0.057,0.5994750000000001,2.1166666666666667,1.9708333333333334,2.2666666666666666,0.2390999943,0.027844665660744616,63.647029876709,39.29494789123535,2.00092005729675,2.60395,1.29341,3.74566,77.41628347826088,73.91518695652175,80.94200913043478,17.6,12.0,22.2,False
1994,BENIN,54.988,156.1,605.0,0.061,0.5994750000000001,2.1166666666666667,1.9708333333333334,2.2666666666666666,0.2336000055,0.027844665660744616,64.0147323608398,39.29494789123535,1.95361995697021,2.81451,1.39899,4.05249,77.41628347826088,73.91518695652175,80.94200913043478,18.1,12.3,22.8,False
1995,BENIN,55.366,152.4,586.0,0.058,0.5994750000000001,2.1166666666666667,1.9708333333333334,2.2666666666666666,0.2578181868181818,0.027844665660744616,67.4948501586914,39.29494789123535,2.0343599319458,3.04502,1.51496,4.38389,77.41628347826088,73.91518695652175,80.94200913043478,18.5,12.7,23.4,False
1996,BENIN,55.648,149.0,576.0,0.05588888888888889,0.5994750000000001,2.1166666666666667,1.9708333333333334,2.2666666666666666,0.2820363681363636,0.027844665660744616,69.8507385253906,39.29494789123535,2.05464005470276,3.29338,1.64256,4.7429,77.41628347826088,73.91518695652175,80.94200913043478,19.0,13.0,24.0,False
1997,BENIN,55.986,145.8,556.0,0.05377777777777778,0.5994750000000001,2.1166666666666667,1.9708333333333334,2.2666666666666666,0.30625454945454544,0.027844665660744616,73.6989974975586,39.29494789123535,2.51360011100769,3.56263,1.78286,5.1323,77.41628347826088,73.91518695652175,80.94200913043478,19.5,13.4,24.6,False
1998,BENIN,56.154,142.6,547.0,0.051666666666666666,0.5994750000000001,2.1166666666666667,1.9708333333333334,2.2666666666666666,0.33047273077272726,0.027844665660744616,76.8410720825195,39.29494789123535,2.51360011100769,3.85385,1.93652,5.55171,77.41628347826088,73.91518695652175,80.94200913043478,20.0,13.7,25.2,False
1999,BENIN,56.336,139.3,536.0,0.04955555555555556,0.5994750000000001,2.1166666666666667,1.9708333333333334,2.2666666666666666,0.3546909120909091,0.027844665660744616,77.1800384521484,20.098539352417,3.20745992660522,4.16646,2.10356,5.99903,77.41628347826088,73.91518695652175,80.94200913043478,20.5,14.1,25.8,False
2000,BENIN,56.594,136.1,529.0,0.04744444444444444,0.5994750000000001,2.5,2.3,2.6,0.3789090934090909,0.027844665660744616,80.111213684082,20.8747406005859,3.62698006629944,4.49528,2.28373,6.46617,77.41628347826088,73.91518695652175,80.94200913043478,21.0,14.5,26.4,False
2001,BENIN,56.654,132.8,532.0,0.04533333333333334,0.5994750000000001,2.4,2.2,2.6,0.4031272747272727,0.027844665660744616,87.4075012207031,22.6525707244873,4.36625003814697,4.83479,2.47623,6.94462,80.04335,78.60719,81.4644,21.5,14.8,27.1,False
2002,BENIN,56.851,129.6,534.0,0.043222222222222224,0.5994750000000001,2.3,2.2,2.5,0.42734545604545454,0.027844665660744616,92.6105804443359,24.5954608917236,5.1319899559021,5.18157,2.68003,7.42808,79.79504,78.16523,81.41029,22.0,15.2,27.7,False
2003,BENIN,57.092,126.5,532.0,0.04111111111111111,0.5994750000000001,2.3,2.1,2.4,0.45156363736363636,0.0593872964382172,96.3288879394531,25.9423904418945,5.66462993621826,5.53248,2.89397,7.91102,79.54301,77.71674,81.35604,22.4,15.6,28.4,False
2004,BENIN,57.346,123.5,531.0,0.039,0.733,2.2,2.0,2.3,0.4757818186818182,0.0593872964382172,100.354598999023,27.7856101989746,5.71906995773315,5.88161,3.11606,8.38317,79.28763,77.2617,81.30168,22.9,15.9,29.0,False
2005,BENIN,57.738,120.6,514.0,0.0445,0.74975,2.1,1.9,2.2,0.5,0.0593872964382172,97.6395721435547,27.7856101989746,5.65152978897095,6.22555,3.34238,8.83934,79.02921,76.80014,81.2472,23.5,16.3,29.7,False
2006,BENIN,57.966,117.9,509.0,0.05,0.7665,2.0,1.9,2.2,0.49,0.0593872964382172,97.9188232421875,27.7856101989746,6.47643995285034,6.55835,3.56864,9.27506,78.76738,76.33159,81.19406,24.0,16.7,30.3,False
2007,BENIN,58.249,115.4,501.0,0.0555,0.78325,1.9,1.8,2.1,0.48,0.0593872964382172,97.9188232421875,27.7856101989746,7.7589898109436,6.87367,3.79074,9.68501,78.502,75.85654,81.14081,24.5,17.1,31.0,False
2008,BENIN,58.099,113.0,563.0,0.061,0.8,1.9,1.8,2.0,0.47000000000000003,0.0593872964382172,110.888137817383,27.7856101989746,7.66394996643066,7.16832,4.00417,10.06365,78.23299,75.37502,81.08743,25.0,17.5,31.7,False
2009,BENIN,58.258,110.6,598.0,0.054,0.62,1.8,1.7,2.0,0.46,0.0593872964382172,116.08260345459,27.7856101989746,9.74950981140137,7.44077,4.20545,10.40975,77.9603,74.8871,81.03394,25.6,17.9,32.4,False
2010,BENIN,58.387,108.4,607.0,0.056,0.44,1.8,1.7,1.9,0.45,0.0593872964382172,117.383979797363,27.7856101989746,13.1351699829102,7.69086,4.39258,10.72593,77.68389,74.39278,80.98034,26.1,18.4,33.0,False
2011,BENIN,58.462,106.2,613.0,0.05433333333333333,0.413,1.8,1.7,1.9,0.49,0.0158451721072197,119.239990234375,47.4146003723145,12.2822198867798,7.92182,4.56598,11.01901,77.40384,73.89159,80.92811,26.6,18.8,33.7,False
2012,BENIN,58.559,103.9,618.0,0.05266666666666667,0.661,1.8,1.6,1.9,0.48,0.0158451721072197,123.163383483887,47.4146003723145,13.3533802032471,8.14129,4.72918,11.30055,77.11994,73.3841,80.87576,27.2,19.2,34.4,False
2013,BENIN,58.863,101.6,607.0,0.051000000000000004,0.565,1.8,1.6,1.9,0.47,0.0158451721072197,124.061050415039,54.0870780944824,15.3102397918701,8.36239,4.89161,11.5864,76.83228,72.87037,80.8233,27.8,19.7,35.1,False
2014,BENIN,59.008,99.3,605.0,0.04933333333333333,0.621,1.8,1.6,1.9,0.46,0.0158451721072197,124.522239685059,54.7326316833496,15.196590423584,8.59563,5.06278,11.88712,76.54086,72.35046,80.77072,28.4,20.2,35.8,False
2015,BENIN,59.123,97.1,606.0,0.04766666666666666,0.6769999999999999,1.8,1.7,1.9,0.44,0.0097333649173378,127.121139526367,57.3949584960938,12.9073896408081,8.84674,5.2483,12.20888,76.24584,71.82443,80.71805,28.9,20.7,36.6,False
2016,BENIN,59.283,95.0,604.0,0.046,0.733,1.8,1.7,2.0,0.43,0.0097333649173378,125.554527282715,57.529670715332,12.3617095947266,9.11818,5.45284,12.55266,75.94837,71.29179,80.66676,29.5,21.2,37.3,False
2017,BENIN,59.528,92.7,592.0,0.061,0.5535,1.9,1.8,2.0,0.44,0.0097333649173378,121.606216430664,57.529670715332,11.7388401031494,9.409,5.67579,12.91678,75.94837,71.29179,80.66676,29.5,21.2,37.3,False
2018,BENIN,59.71,90.5,585.0,0.076,0.374,2.0,1.9,2.1,0.46,0.0028431373648345,117.116798400879,57.529670715332,12.0070600509644,9.71872,5.91824,13.29931,75.94837,71.29179,80.66676,29.5,21.2,37.3,False
2019,BENIN,59.888,88.0,572.0,0.062,0.291,2.1,2.0,2.3,0.42,0.0028431373648345,112.029891967773,57.529670715332,10.7973299026489,10.04816,6.1837,13.69808,75.94837,71.29179,80.66676,29.5,21.2,37.3,False
2020,BENIN,60.154,85.5,578.0,0.137,0.4365,2.3,2.1,2.5,0.47,0.0028431373648345,109.148918151855,45.7407913208008,10.8024797439575,10.40074,6.47508,14.11576,75.94837,71.29179,80.66676,29.5,21.2,37.3,False
